## 泌尿系统疾病

D. 经消化道钙吸收过多
E. 恶性肿瘤骨转移
【参考答案】 D

128. 尿结石最常见的部位是
A. 肾实质
B. 肾盏
C. 肾盂
D. 输尿管
E. 膀胱
【参考答案】 C

129. 不符合继发性肾小球肾炎的描述是
A. 肾小球病变是全身疾病的一部分
B. 其他脏器疾病累及肾小球
C. 临床表现与原发性肾小球肾炎不同
D. 肾小球病变与原发性肾小球肾炎不易区分
E. 预后取决于原发性疾病和肾脏疾病
【参考答案】 C

130. 不引起继发性肾小球肾炎的疾病有
A. 糖尿病
B. Wegener 肉芽肿
C. 系膜性红斑狼疮
D. 结核病
E. 乙型肝炎
【参考答案】 D

131. 预后较好的狼疮性肾小球肾炎是
A. 轻微病变性肾小球肾炎
B. 膜性肾小球肾炎
C. 膜增生性肾小球肾炎
D. 新月体性肾小球肾炎
E. 系膜增生性肾小球肾炎
【参考答案】 A

132. 亚急性细菌性心内膜炎常引起
A. 轻微病变性肾小球肾炎
B. 膜性肾小球肾炎
C. 膜增生性肾小球肾炎
D. 局灶性肾小球肾炎
E. 系膜增生性肾小球肾炎
【参考答案】 D

133. 过敏性紫癜性肾小球肾炎最常见的是
A. 轻微病变性肾小球肾炎
B. 膜性肾小球肾炎
C. 膜增生性肾小球肾炎
D. 新月体性肾小球肾炎
E. 系膜增生性肾小球肾炎
【参考答案】 E

134. Goodpasture 综合征是
A. 循环免疫复合物性肾小球肾炎
B. 植入性非肾性抗原引起的肾小球肾炎
C. 抗基底膜抗体引起的肺出血肾炎综合征
D. IgA 肾病
E. 致密物沉积病
【参考答案】 C

135. Wegener 肉芽肿主要引起
A. 轻微病变性肾小球肾炎
B. 膜性肾小球肾炎
C. 膜增生性肾小球肾炎
D. 局灶性节段性坏死性肾小球肾炎
E. 系膜增生性肾小球肾炎
【参考答案】 D

136. 糖尿病主要引起
A. 肾小球硬化
B. 膜性肾小球肾炎
C. 膜增生性肾小球肾炎
D. 新月体性肾小球肾炎
E. 系膜增生性肾小球肾炎
【参考答案】 A

137. 最常见的肾囊肿性疾病是
A. 婴儿型多囊肾
B. 成人型多囊肾
C. 囊性肾结构不良
D. 单纯性肾囊肿
E. 髓质海绵肾
【参考答案】 D

138. 常染色体显性遗传引起的肾囊肿性疾病是
A. 婴儿型多囊肾
B. 成人型多囊肾
C. 囊性肾结构不良
D. 单纯性肾囊肿
E. 髓质海绵肾
【参考答案】 B

139. 常染色体隐性遗传引起的肾囊肿性疾病是
A. 婴儿型多囊肾
B. 成人型多囊肾
C. 囊性肾结构不良
D. 单纯性肾囊肿
E. 髓质海绵肾
【参考答案】 A

140. 不符合成人型多囊肾的描述是
A. 常在 50 岁左右出现肾功能衰竭
B. 多累及单侧肾脏
C. 肾脏体积增大
D. 肾脏由大小不等的囊肿构成
E. 囊肿来自肾小管和集合管
【参考答案】 B

141. 不符合急性肾功能衰竭的描述是
A. 急性少尿或无尿
B. 氮质血症
C. 水电解质和酸碱平衡紊乱
D. 肾小管急性损伤是发病的中心环节
E. 蛋白尿、血尿、水肿和少尿
【参考答案】 E

142. 不属于急性肾小管坏死的是
A. 挤压综合征
B. 肝肾综合征
C. Goodpasture 综合征
D. 休克肾
E. 中毒性肾病
【参考答案】 C

143. 急性肾功能衰竭的主要病变是
A. 蛋白管型
B. 肾小球损伤
C. 集合管扩张
D. 肾小管坏死
E. 肾细动脉纤维素样坏死
【参考答案】 D

144. 引起急性肾小管坏死的主要因素是
A. 缺血和中毒
B. 水电解质和酸碱平衡紊乱
C. 免疫复合物沉积
D. 变态反应
E. 细菌感染
【参考答案】 A

145. 不引起肾病综合征的肾小球肾炎的是
A. 轻微病变性肾小球肾炎
B. 膜性肾小球肾炎
C. 膜增生性肾小球肾炎
D. 新月体性肾小球肾炎
E. 系膜增生性肾小球肾炎
【参考答案】 D

146. 男性，34 岁，肾病综合征十多年。近年来出现高血压、多尿、夜尿。近来出现贫血、视力减退、心率紊乱、全身出现尿味、身体虚弱等症状。数月来，呕吐、抽搐、昏迷而死亡。肾脏的病理表现可能为
A. 蚤咬肾
B. 大白肾
C. 大红肾
D. 颗粒性萎缩肾
E. 肾梗死
【参考答案】 D

147. 女性，45 岁，数年前曾出现发烧、尿频、尿急、尿疼等尿路刺激症，未彻底治疗。近年来上述症状时轻时重。符合该患者疾病的病理变化是
A. 肾入球小动脉玻璃样变
B. 肾小球新月体形成
C. 肾小管坏死
D. 尿内可见大量脓细胞，可查到大肠杆菌
E. 肾小球广泛硬化
【参考答案】 D

148. 男性，10 岁，2 周前患扁桃腺炎，经治疗好转。近 2 天来出现眼睑水肿，少尿、血尿，尿蛋白（+++），血压升高（150/90 mmHg）。患者的临床表现符合
A. 急性肾炎综合征
B. 慢性肾炎综合征
C. 急进性肾炎综合征
D. 隐匿性肾炎综合征
E. 肾病综合征
【参考答案】 A

149. 肾病综合征不包括
A. 蛋白尿
B. 血尿
C. 严重水肿
D. 高脂血症
E. 低蛋白血症
【参考答案】 B

150. 急进性肾炎综合征是指
A. 蛋白尿、脓尿、菌尿
B. 血尿、蛋白尿、少尿，快速进入肾功能衰竭
C. 无症状的蛋白尿、血尿
D. 大量蛋白尿、低蛋白血症、高度水肿和高胆固醇血症
E. 突起性血尿，伴有水肿、蛋白尿、少尿
【参考答案】 B

151. 隐匿性肾炎综合征可见于
A. 慢性硬化性肾小球肾炎
B. 轻微病变性肾小球肾炎
C. 新月体性肾小球肾炎
D. 局灶性节段性肾小球肾炎
E. 膜性肾小球肾炎
【参考答案】 D

152. 小儿肾病综合征主要见于
A. 慢性硬化性肾小球肾炎
B. 轻微病变性肾小球肾炎
C. 新月体性肾小球肾炎
D. 局灶性节段性肾小球肾炎
E. 膜性肾小球肾炎
【参考答案】 B

153. glomerulonephritis
A. 肾盂肾炎
B. 肾母细胞瘤
C. 肾小球肾炎
D. 肾病
E. 尿石症
【参考答案】 C

154. nephroblastoma
A. 肾盂肾炎
B. 肾母细胞瘤
C. 肾小球肾炎
D. 肾病
E. 尿石症
【参考答案】 B

155. pyelonephritis
A. 肾盂肾炎
B. 肾母细胞瘤
C. 肾小球肾炎
D. 肾病
E. 尿石症
【参考答案】 A

156. urolithiasis
A. 肾盂肾炎
B. 肾母细胞瘤
C. 肾小球肾炎
D. 肾病
E. 尿石症
【参考答案】 E

157. transitional cell carcinoma
A. 移行细胞癌
B. 鳞状细胞癌
C. 肾细胞癌
D. 肾母细胞瘤
E. 移行细胞乳头状瘤
【参考答案】 A

158. uremia
A. 肾盂肾炎
B. 肾母细胞瘤
C. 肾小球肾炎
D. 尿毒症
E. 尿石症
【参考答案】 D

159. crescentic glomerulonephritis
A. 膜性肾小球肾炎
B. 轻微病变性肾小球肾炎
C. 新月体性肾小球肾炎
D. 系膜增生性肾小球肾炎
E. 膜性增生性肾小球肾炎
【参考答案】 C

160. mesangioproliferative glomerulonephritis
A. 膜性肾小球肾炎
B. 轻微病变性肾小球肾炎
C. 新月体性肾小球肾炎
D. 系膜增生性肾小球肾炎
E. 膜性增生性肾小球肾炎
【参考答案】 D

161. What is the most common cause of glomerulonephritis in the world?
A. Minimal change disease
B. Membranous glomerulonephritis
C. IgA nephropathy
D. Acute poststreptococcal glomerulonephritis
E. Membranoproliferative glomerulonephritis
【参考答案】 C

162. What is the leading cause of end stage renal disease?
A. Membranous glomerulonephritis
B. Diabetic nephropathy
C. IgA nephropathy
D. Minimal change disease
E. Membranoproliferative glomerulonephritis
【参考答案】 B

163. A 65-year-old man recently retired after many years in a job that involved exposure to aniline dyes, including β-naphthylamine. One month ago, he had an episode of hematuria that was not accompanied by abdominal pain. On physical examination, there are no abnormal findings. Urinalysis shows 4+ hematuria and no ketones, glucose, or protein. Microscopic examination of the urine shows RBCs that are too numerous to count, 5 to 10 WBCs per high-power field, and no crystals or casts. The result of a urine culture is negative. Which of the following is the most likely diagnosis?
A. Renal cell carcinoma
B. Hemorrhagic cystitis
C. Urothelial carcinoma
D. Tubercular cystitis
E. Squamous cell carcinoma of the urethra
【参考答案】 C

164. A 49-year-old man had increased swelling in the extremities for 2 months. Physical examination showed generalized edema. A 24-hour urine collection yielded 4.1 g of protein as well as albumin and globulins. Extensive testing showed no evidence of any systemic disease, such as diabetes mellitus or systemic lupus erythematosus. He did not respond to a course of corticosteroid therapy. A renal biopsy was performed, and microscopic examination showed diffuse thickening of the basement membrane. Immunofluorescence staining with antibody to the C3 component of complement was positive in a granular pattern in the glomerular capillary loops. Two years later, he experiences increasing malaise, and laboratory studies show serum creatinine level of 45 mg/dL and urea nitrogen level of 44 mg/dL. Which of the following immunologic mechanisms was most likely responsible for the glomerular changes observed in the biopsy specimen?
A. Antibodies that react with basement membrane collagen
B. Antibodies against streptococci that cross-react with the basement membrane
C. Release of cytokines by inflammatory cells
D. Cytotoxic T cells directed against renal antigens
E. Deposition of immune complexes on the basement membrane
【参考答案】 E

165. One week after a mild flu like illness, a 9-year-old boy has an episode of hematuria that subsides within 2 days. One month later, he tells his parents that his urine is red again. On physical examination, there are no significant findings. Urinalysis shows 1+ proteinuria, 1+ hematuria, and no ketones, glucose, or urobilinogen. The serum urea nitrogen level is 36 mg/dL and the creatinine level is 32 mg/dL. A renal biopsy specimen shows diffuse mesangial proliferation and electron-dense deposits in the mesangium. Which of the following mechanisms is most likely to produce these findings?
A. Deposition of immune complexes containing IgA
B. Formation of antibodies against type IV collagen
C. Virus-mediated injury to the glomeruli
D. Cytokine-mediated injury to the capillaries
E. Congenital defects in the structure of glomerular basement membranes
【参考答案】 A

166. A 3-year-old girl has complained of abdominal pain for the past month. On physical examination, she is febrile, and palpation of the abdomen shows a tender mass on the right. Laboratory studies show hematuria without proteinuria. An abdominal CT scan shows a 12-cm circumscribed, solid mass in the right kidney. A right nephrectomy is performed, and the gross appearance of the mass is shown above. Which of the following is the most likely diagnosis?
A. Angiomyolipoma
B. Interstitial cell tumor
C. Renal cell carcinoma
D. Wilms tumor
E. Transitional cell carcinoma
【参考答案】 D

167. A 40-year-old man has experienced increasing lower extremity edema for the past 3 weeks. On physical examination, he has pitting edema up to the knees. The 24-hour urine protein level is 7 g. Urinalysis shows 4+ protein but no blood or glucose. Serologic test results for ANA, anti-streptolysin O (ASO), HIV, and ANCA are all negative. A renal biopsy is performed. Light microscopy shows glomeruli which appear normal except for diffuse, uniform thickening of the glomerular capillary basement membranes. Immunofluorescence shows granular peripheral staining of the basement membrane for IgG and C3. Given the clinical and histopathologic findings, electron microscopy of this biopsy specimen is most likely to show which of the following findings?
A. Subepithelial electron-dense deposits
B. Subendothelial electron-dense deposits with duplication of the basement membrane
C. Mesangial electron-dense deposits only
D. No deposits but marked podocyte foot process fusion
E. No abnormality
【参考答案】 A

168. A 26-year-old man is involved in a motor vehicle accident and sustains acute blood loss. He is hypotensive for several hours before paramedical personnel arrive. They stabilize the bleeding and transport him to a hospital, where he receives a transfusion of 3 units of packed RBCs. Over the next week, the serum urea nitrogen level increases to 48md/dL, the serum creatinine level increases to 5 mg/dL, and the urine output decreases. He undergoes hemodialysis for the next 2 weeks and then develops marked polyuria, with urine output of 2 to 3L per day. His recovery is complicated by bronchopneumonia, but renal function gradually returns to normal. Which of the following histological features best characterizes the patient's transient renal disease?
A. Glomerular crescents in Bowman's space
B. Interstitial lymphocytic infiltrates
C. Arteriolar fibrinoid necrosis
D. Nodular glomerulosclerosis
E. Rupture of the tubular basement membrane
【参考答案】 E

169. A 50-year-old woman has had flank pain for the past 2 days. Physical examination shows bilateral costovertebral angle tenderness. Urinalysis shows 2+ hematuria, and no protein, glucose, or ketones. An abdominal ultrasound scan shows bilaterally enlarged kidneys that have been replaced completely by 0.5- to 0.3-cm cysts. Which of the following complication is most likely to develop in this patient?
![题目配图](https://quiz.huh.moe/data/bl/images/8-chap8-3.jpg)
A. Hypertension
B. Renal cell carcinoma
C. Nephrotic syndrome
D. Microangiopathic hemolytic anemia
E. Renal infarction
【参考答案】 A

170. A 77-year-old man has had increasing difficulties with urination for the past 2 years. He has difficulty starting and stopping the urine stream. On physical examination, his temperature is 37.0°C and blood pressure is 130/85 mmHg. The representative gross appearance of the bladder is shown. Which of the following laboratory findings is most likely to be reported in this patient?
![题目配图](https://quiz.huh.moe/data/bl/images/8-chap8-3.jpg)
A. Positive ANA test result
B. Urine culture positive for Mycobacterium tuberculosis
C. Hemoglobin concentration 225 g/dL
D. Schistosoma haematobium eggs in urine
E. Prostate-specific antigen level of 5 ng/mL
【参考答案】 E

171. A 25-year-old woman experiences a sudden onset of fever, malaise, and nausea. Her temperature is 38.2°C , pulse 85/min, respirations 18/min, and blood pressure 140/90 mmHg. A routine urinalysis shows 1+ proteinuria, 4+ hematuria, and no ketones or glucose. RBC casts are seen on microscopic examination of the urine. A renal biopsy is performed, and light microscopic examination shows marked glomerular hypercellularity with neutrophils in the glomerular capillary loops. Immunofluorescence microscopy shows granular deposition of IgG and C3 in glomerular capillary basement membranes. Electron microscopy shows electron-dense subepithelial "humps"-0.25em. Which of the following is the most likely diagnosis?
A. Goodpasture syndrome
B. Systemic amyloidosis
C. Postinfectious glomerulonephritis
D. Diabetes mellitus
E. Membranous glomerulonephritis
【参考答案】 C

172. The parents of a 6-year-old girl notice that she has become increasingly lethargic over the past 2 weeks. On examination by the physician, she has puffiness around the eyes. Laboratory findings show a serum creatinine level of 0.7 mg/dL and a urea nitrogen level of 12 md/dL. Urinalysis shows 4+ proteinuria, and no blood or glucose. The 24-hour urine protein level is 3.8 g . The child's condition improves after a course of glucocorticoid therapy. Which of the following electron microscopic findings is most likely to characterize this disease process?
A. Subepithelial electron-dense humps
B. Effacement of podocyte foot processes
C. Areas of thickened and thinned basement membrane
D. Increased mesangial matrix
E. Reduplication of glomeruhr basement membrane
【参考答案】 B

173. Several days after a mild upper respiratory infection, a 29-year-old man begins passing dark red-brown urine. The dark urine persists for the next 3 days and then becomes clear and yellow, only to become red-brown again 1 month later. There are no remarkable findings on physical examination. Urinalysis shows 3+ hematuria, 1+ proteinuria, and no glucose or ketones. Microscopic examination of the urine shows RBCs and no WBCs, casts, or crystals. The 24-hour urine protein level is 200 mg. A renal biopsy for evaluation of the glomeruli in this patient is most likely to show which of the following alterations?
A. Thrombosis in the glomerular capillaries
B. Diffuse proliferation and basement membrane thickening
C. Mesangial lgA staining by immunofluorescence
D. Granular staining of the basement membrane by anti-IgG antibodies
E. Subepithelial electron-dense deposits
【参考答案】 C

174. A 72-year-old woman has noticed a lowly enlarging mass on the urethra. The mass causes local pain and irritation and is now bleeding. Physical examination shows a 2.5 cm warty, ulcerated mass protruding from the external urethral meatus. There are no lesions on the labia or in the vagina. A biopsy specimen of the lesion is most likely to identity which of the following?
A. Papilloma
B. Leiomyoma
C. Embryonal rhabdomyosarcoma
D. Squamous cell carcinoma
E. Syphilitic chancre
【参考答案】 D

175. A 49-year-old man who is a long-term smoker presents with frequency and hematuria. Histologic examination of sections taken from an exophytic lesion of the urinary bladder reveals groups of atypical cells with frequent mitoses forming finger-like projections that have thin, fibrovascular cores. These groups of atypical cells do not extend into the lamina propria and muscularis. No glands or keratin production are found. Which of the fol-lowing is the most likely diagnosis?
A. Adenocarcinoma, noninvasive
B. Inverted papilloma, noninvasive
C. Transitional cell carcinoma in situ
D. Squamous cell carcinoma in situ
E. Papillary transitional cell carcinoma, noninvasive
【参考答案】 E

176. Which of the following histologic changes is most likely to be seen when examining a mucosal biopsy of the urinary bladder from an individ-ual with acute cystitis due to infection with Escherichia coli?
A. An infiltrate of lymphocytes and plasma cells
B. An infiltrate of neutrophils
C. Inflammation with eosinophils
D. Noncaseating granulomas
E. Sheets of macrophages with granular cytoplasm
【参考答案】 B

177. An 8-month-old infant boy presents with an enlarging abdominal mass. Laboratory evaluation finds normal urinary levels of vanillylman-delic acid (VMA). The mass is removed surgically and microscopic sections reveal undifferentiated mesenchymal cells, immature tubules, and abortive glomerular formation. This tumor is most closely associated with abnor-malities involving which one of the following genes?
A. MET gene
B. PRCC gene
C. p16/INK4A gene
D. VHL gene
E. WT-1 gene
【参考答案】 E

178. A 58-year-old man presents with left-sided costovertebral pain and gross hematuria. A large mass is found in the upper pole of one of his kidneys, as seen in the picture. Which of the following histologic changes is most likely to be seen when examining microscopic sections from this mass?
![题目配图](https://quiz.huh.moe/data/bl/images/8-chap8-1.jpg)
A. Groups and sheets of transitional epithelial cells
B. Immature tubules and abortive glomerular formation
C. Malignant undifferentiated mesenchymal cells
D. Large cells with prominent eosinophilic cytoplasm containing numerous mitochondria
E. Uniform cells with clear cytoplasm containing glycogen and lipid
【参考答案】 C

179. A 56-year-old man presents with severe headaches, nausea, and vomiting. He also relates seeing spots before his eyes and is found to have a diastolic blood pressure of 160 mmHg. Microscopic examination of a renal biopsy demonstrates hyperplastic arteriolitis. Gross examination of his kidneys is most likely to reveal which one of the following changes?
![题目配图](https://quiz.huh.moe/data/bl/images/8-chap8-2.jpg)
A. A finely granular appearance on the surface
B. Multiple small petechial hemorrhages on the surface
C. Diffuse, irregular cortical scars overlying dilated calyces
D. Cortical scars overlying dilated calyces in the renal poles
E. Depressed cortical areas overlying necrotic papillae of varying stages
【参考答案】 B

180. A 67-year-old woman presents with signs of slowly progressive renal failure. Physical examination reveals mild hypertension, while laboratory tests find increased serum creatinine and BUN with mild proteinuria. A few scat-tered neutrophils and rare bacteria are seen microscopically in her urine. Grossly both of her kidneys are small and irregular with dilation of the renal pelvis and clubbing of the calyces, and these changes are similar in appearance to those seen in the picture below. Histologic sections from her kidneys reveal chronic inflammation of the interstitium. Which one of the following additional microscopic findings should be present in these histologic sections?
![题目配图](https://quiz.huh.moe/data/bl/images/8-chap8-2.jpg)
A. The renal papillae should have numerous activated macrophages
B. The tubules should be dilated and filled with colloid casts
C. The afferent and efferent arterioles should demonstrate fibroelastic hyperplasia
D. The interstitium should have needle-shaped crystals
E. The glomeruli should have multiple fibrin microthrombi
【参考答案】 B

181. Histologic sections of a kidney reveal patchy necrosis of epithelial cells of both the proximal and distal tubules with flattening of the epithelial cells, rupture of the basement membrane (tubulorrhexis), and marked interstitial edema. Acute inflammatory cells are not seen. Which of the following is the most likely diagnosis?
A. Acute pyelonephritis
B. Acute tubular necrosis
C. Diffuse cortical necrosis
D. Chronic pyelonephritis
E. Chronic glomerulonephritis
【参考答案】 B

182. A 50-year-old man presents with increasing peripheral edema and dark, tea-colored urine. Laboratory examination finds decreased serum albumin, while examination of a 24 h urine specimen reveals marked proteinuria. Microscopic examination of this patient's urine reveals numerous red cells along with rare red cell casts. Electron microscopic examination of a renal biopsy from this patient reveals dense, ribbon-like deposits in the lamina densa of the glomerular basement membrane. Which of the following is the most likely diagnosis?
A. Acute glomerulonephritis
B. IgA nephropathy
C. Lipoid nephrosis
D. Membranoproliferative glomerulonephritis
E. Membranous glomerulopathy
【参考答案】 D

183. A 3-year-old boy is being evaluated for the development of progressive peripheral edema. He is afebrile, and his blood pressure is within normal limits. Laboratory examination finds decreased serum albumin, increased serum cholesterol, and normal BUN and creatinine levels. Examination of his urine shows massive proteinuria and lipiduria, but no red blood cells are seen. A histologic section from a renal biopsy examined with a routine H&E stain is unremarkable, but electron microscopic examination finds flattening and fusion of the foot processes of the podocytes. The basement membrane is not fragmented and electron dense deposits are not found. What is the best diagnosis?
A. Diffuse proliferative glomerulonephritis (DPGN)
B. Heymann glomerulonephritis (HGN)
C. Minimal change disease (MCD)
D. Membranous glomerulopathy (MGN)
E. Membranoproliferative glomerulonephritis (MPGN)
【参考答案】 C

184. Which of the following is the most likely cause of the clinical combination of generalized edema, hypoalbuminemia, and hypercholesterolemia in an adult whose urinalysis demonstrates marked proteinuria, with fatty casts and oval fat bodies?
A. Nephritic syndrome
B. Nephrotic syndrome
C. Acute renal failure
D. Renal tubular defect
E. Urinary tract infection
【参考答案】 B

185. A prostatectomy specimen was examined pathologically and several sites with adenocarcinoma are mapped within the prostate. In which of the following regions of the prostate are these adenocarcinomas most likely to arise?
A. Anterior fibromuscular stroma
B. Central zone
C. Peripheral zone
D. Transitional zone
E. Periurethral zone
【参考答案】 C

186. A 75-year-old man gets up several times during a football match to go to the restroom to urinate, even though he has had only one beer. This is a problem that has plagued him for severa1 years. When he visits his physician for a checkup, on physical examination he has an enlarged, nodular prostate palpated on digital rectal examination. Laboratory studies show his serum prostate specific antigen is 5 ng/mL. Which of the following pathologic findings is most likely to be present on prostate biopsy in this man?
A. Adenocarcinoma
B. Acute inflammation
C. Multiple infarctions
D. Nodular hyperplasia
E. Granulomatous inflammation
【参考答案】 D

187. A 75-year-old healthy man goes to his physician for a routine check-up. On physical examination there is a firm nodule palpable in the prostate via digital rectal examination. Prostate biopsies are performed and on microscopic examination show small, crowded glands containing cells with prominent nucleoli within the nuclei. Which of the following is the most likely diagnosis?
A. Chronic prostatitis
B. Benign prostatic hyperplasia
C. Adenocarcinoma of the prostate
D. Metastatic urothelial carcinoma
E. Recent infarction of the prostate
【参考答案】 C

188. A 4-year-old child has been noted by his mother to be lethargic for 2 weeks. He has periorbital edema. He is afebrile. Dipstick urinalysis reveals no glucose, ketones, or blood, but he has 4+ proteinuria. Microscopic urinalysis reveals no casts, but oval fat bodies are seen. He is treated with corticosteroid therapy and his condition improves. Which of the following renal electron micrographic findings is most characteristic of this child's disease?
A. Fusion of foot processes
B. Mesangial cell proliferation
C. Irregular thickening of the glomerular basement membranes
D. Duplication of glomerular capillary basement membranes
E. Subepithelial electron dense deposits
【参考答案】 A

189. A 49-year-old woman has been hospitalized for the past 10 days for treatment of bronchopneumonia. She has developed chills and fever over the past 2 days. Her temperature is 38.8 C and she has a diffuse erythematous skin rash. Laboratory studies show a serum creatinine of 2.2 mg/dL and glucose 73 mg/dL. A peripheral blood smear reveals eosinophilia. On urinalysis she has 2+ proteinuria but no blood, glucose, or ketones. Which of the following is the most likely diagnosis?
A. Acute tubular necrosis
B. Drug-induced interstitial nephritis
C. IgA nephropathy
D. Post-streptococcal glomerulonephritis
E. Acute serum sickness
【参考答案】 D

190. A 65-year-old woman is admitted with sudden onset of chest pain and is diagnosed with an acute myocardial infarction. There is difficulty maintaining adequate blood pressure and tissue perfusion for 3 days. Her serum lactate becomes elevated. Her serum urea nitrogen and creatinine are found to be increasing. Granular and hyaline casts are present on microscopic urinalysis. Which of the following renal lesions is most likely to be present in this situation?
A. Chronic pyelonephritis
B. Renal vein thrombosis
C. Nodular glomerulosclerosis
D. Acute tubular necrosis
E. Minimal change disease
【参考答案】 D

191. A 2-year-old child has become more irritable over the past two months and does not want to eat much at meals. On physical examination the pediatrician notes an enlarged abdomen and a mass is palpable on the right. An abdominal CT scan reveals a 10 cm solid mass involving the right kidney. The resected mass has a microscopic appearance with sheets of small blue cells along with primitive tubular structures. The child receives chemotherapy and radiation therapy, and there is no recurrence. Which of the following neoplasms is this child most likely to have had?
A. Angiomyolipoma
B. Renal cell carcinoma
C. Urothelial carcinoma
D. Wilm's tumor
E. Medullary fibroma
【参考答案】 D

192. A clinical study is performed with pediatric subjects who have minimal change disease. These patients are observed to have prominent periorbital edema. Laboratory test findings from serum and urine tests are analyzed. Which of the following laboratory test findings is most likely to be consistently present in these subjects?
A. Nitrite positive urinalysis specimen
B. Proteinuria > 3.5 g/24 hours
C. Hematuria with > 10 RBC/hpf
D. Renal tubular epithelial cells and casts
E. Lipiduria in association with hypercholesterolemia
【参考答案】 B

193. A 55-year-old man has noted passing darker urine for the past week. A urinalysis shows pH 5.5, specific gravity 1.013, 2+ blood, no protein, and no glucose. A urine cytology is performed and atypical uroepithelial cells are found. A urologist performs a cystoscopy, but no mucosal lesions are noted. He has a 60 pack year history of smoking cigarettes. Which of the following is the most likely diagnosis?
A. Adenocarcinoma of prostate
B. Acute interstitial nephritis
C. Urothelial carcinoma of renal pelvis
D. Nodular glomerulosclerosis
E. Squamous cell carcinoma of penis
【参考答案】 C

194. Which of the following glomerulonephropathies is the most common cause of nephrotic syndrome in adults? It is characterized by diffuse thickening of the glomerulocapillary wall with electron dense deposits on the subepithelial side of the epithelial membrane.
A. Minimal change disease
B. Focal Segmental GN
C. Membranous GN
D. Membranoproliferative GN
E. IgA nephropathy
【参考答案】 C

195. This glomerular disease is associated with low serum complement levels, the presence of granular immune deposits within the glomeruli, and subepithelial hump-like electron-dense deposits. The best diagnosis is:
A. Poststreptococcal glomerulonephritis
B. Goodpasture syndrome
C. Membranous glomerulonephropathy
D. Focal segmental glomerulosclerosis
E. IgA nephropathy
【参考答案】 A

196. Nephrotic syndrome is defined by which of the following:
A. > 0.5 grams of proteinuria in 24 hours
B. > 1.5 grams of proteinuria in 24 hours
C. > 15 grams of proteinuria in 24 hours
D. > 5 grams of proteinuria in 24 hours
E. > 3.5 grams of proteinuria in 24 hours
【参考答案】 E

197. A 6-year-old presents with 12 grams proteinuria/24 hour and normal renal function. He was treated with corticosteroids and had a complete remission in proteinuria. If a renal biopsy had been performed, what would likely be the sole abnormality identified?
A. Subepithelial deposits
B. Subendothelial deposits
C. Glomerular basement membrane necrosis
D. Diffuse hypercellularity
E. Diffuse loss of podocyte foot process
【参考答案】 E

198. Which finding is fairly specific for chronic renal failure
A. Anemia
B. Hyaline casts
C. Hypocalcemia
D. Proteinuria
E. Broad casts see in urinalysis
【参考答案】 E

199. Cellular crescents form in Bowman's space in all forms of rapidly progressive glomerulonephritis. What is the abnormality that is responsible for crescent formation?
A. Glomerular basement membrane thickening
B. Glomerular basement membrane spikes
C. Glomerular basement membrane duplication
D. Glomerular basement membrane necrosis
E. Glomerular basement membrane collapse
【参考答案】 D

200. A 13-year-old girl presents with hematuria, red blood cell casts, hypertension and low complement. What form of glomerulonephritis would explain these findings and be associated with a favorable prognosis without therapy?
A. Acute poststreptococcal glomerulonephritis
B. Membranoproliferative glomerulonephritis
C. Minimal change disease
D. Membranous glomerulonephritis
E. IgA nephropathy
【参考答案】 A

201. A high fractional excretion of sodium is typically found in which of the following?
A. Hepatorenal syndrome
B. Acute glomerulonephritis
C. Acute tubular necrosis
D. Urinary tract obstruction
E. Heart failure
【参考答案】 C

202. A 55-year-old male who is a long-term smoker presents with urinary frequency and hematuria. Histologic examination of sections taken from an exophytic lesion of the urinary bladder reveal groups of atypical cells with frequent mitoses forming finger-like projections that have thin fibrovascular cores. These groups of atypical cells do not extend into the lamina propria and muscularis. No glands or keratin production are found. Which of the following is the most accurate diagnosis for this bladder tumor?
A. Transitional cell carcinoma in situ
B. Inverted papilloma
C. Adenocarcinoma, noninvasive
D. Papillary transitional cell carcinoma (TCC), noninvasive
E. Squamous cell carcinoma in situ
【参考答案】 D

203. The kidney shown in the photomicrograph below exhibits a tumor that originated in the upper pole. Histologic sections from this lesion would most likely reveal which of the following carcinomas?
![题目配图](https://quiz.huh.moe/data/bl/images/8-chap8-1.jpg)
A. Squamous cell carcinoma
B. Small cell carcinoma
C. Signet cell carcinoma
D. Clear cell carcinoma
E. Transitional cell carcinoma
【参考答案】 D

204. What is the most likely cause of the combination of generalized edema, hypoalbuminemia, hypercholesterolemia, marked proteinuria, with fatty casts and oval fat bodies in the urine?
![题目配图](https://quiz.huh.moe/data/bl/images/8-chap8-1.jpg)
A. Acute renal failure
B. Nephrotic syndrome
C. Nephritic syndrome
D. Renal tubular defect
E. Urinary tract infection
【参考答案】 B

205. A 55-year-old male is found to have a 3.0-cm "coin lesion" in the upper lobe of his left lung. The lesion is removed surgically, and histologic sections reveal sheets of malignant cells with clear cytoplasm (clear cell carcinoma). This lung lesion is most likely a metastasis from which of the following sites?
A. Breast
B. Appendix
C. Stomach
D. Pancreas
E. Kidney
【参考答案】 D

