## 淋巴造血系统疾病

1. 霍奇金淋巴瘤最常发生的部位是
121. Classical Hodgkin lymphoma frequently involves which of the following sites?
A. Cervical lymph nodes
B. Mediastinal lymph nodes
C. Retroperitoneal lymph nodes
D. Inguinal lymph nodes
E. Axillary lymph nodes
【参考答案】 A

122. Which of the following phenotypes is characteristic of B cells?
A. CD3
B. CD20
C. CD56
D. CD68
E. CD2
【参考答案】 B

123. Which of the following lymphomas has the best prognosis?
A. Mantle cell lymphoma
B. Extranodal NK/T-cell lymphoma
C. MALT lymphoma
D. Burkitt lymphoma
E. Diffuse large B cell lymphoma
【参考答案】 C

124. Which of the following is the correct order for the prognosis of different types of classical Hodgkin lymphoma?
A. NSCHL > LRCHL > MCCHL > LDCHL
B. LRCHL > NSCHL > MCCHL > LDCHL
C. LRCHL > NSCHL > LDCHL > MCCHL
D. LRCHL > MCCHL > NSCHL > LDCHL
E. MCCHL > LRCHL > NSCHL > LDCHL
【参考答案】 B

125. The histological findings shown here at low power(left side) and high power (right side) microscopically were present in a cervical lymph node that was biopsied. The patient is a 33-year-old woman with low grade fever, night sweats, fatigue and non-tender cervical and supraclavicular lymphadenopathy. This appearance is most consistent with:
![题目配图](https://course.huh.moe/data/bl/images/10-chap10-4.jpg)
A. Chronic lymphocytic leukemia/small lymphocytic lymphoma
B. Nodular sclerosis classical Hodgkin lymphoma
C. Burkitt lymphoma
D. Metastatic carcinoma
E. Lymphoid reactive hyperplasis
【参考答案】 B

126. This microscopic appearance of an enlarged, non-tender right cervical lymph node found on physical examination of a 38-year-old man which had been present for several months is most suggestive of a diagnosis of:
![题目配图](https://course.huh.moe/data/bl/images/10-chap10-4.jpg)
A. Chronic lymphocytic leukemia/small lymphocytic lymphoma
B. Metastatic carcinoma
C. Burkitt lymphoma
D. Mixed cellularity classical Hodgkin lymphoma
E. Nodular sclerosis classical Hodgkin lymphoma
【参考答案】 D

127. Which of the following lymphomas may show a nodular growth pattern in lymph nodes?
A. Chronic lymphocytic leukemia/small lymphocytic lymphoma
B. Classical Hodgkin lymphoma
C. Mantle cell lymphoma
D. Follicular lymphoma
E. All of above
【参考答案】 E

128. A diffuse lymphoma composed of atypical, polymorphic large cells and expressing CD20, CD45 (common leukocyte antigen) and CD79a should be classified as:
A. Anaplastic large cell lymphoma
B. Diffuse large B-cell lymphoma
C. Extranodal NK/T-cell lymphoma
D. Mantle cell lymphoma
E. None of the above
【参考答案】 B

129. Which of the following is the typical phenotype of classical Hodgkin lymphoma?
A. CD3, CD30, EMA and ALK-1 positive
B. CD10, CD20 and CD43 positive
C. CD15 positive; CD20, CD30 and CD45 (common leukocyte antigen) negative
D. CD30 and CD15 positive; CD20 and CD45 (common leukocyte antigen) negative
E. CD30, CD20 and CD45 positive; CD15 negative
【参考答案】 D

130. A 25-year-old male presents with an extensive destructive midfacial lesion. On biopsy, coagulative necrosis and an angiodestructive growth pattern can be observed. The immunophenotype is positive for CD3, CD56, Granzyme B, and TIA-1. Which of the following is most likely to be associated with this case?
A. H. pylori infection
B. EBV infection
C. Isolated inguinal lymphadenopathy
D. Sjögren's syndrome
E. Hemophagocytic syndrome
【参考答案】 B

131. A 23-year-old female has cervical lymphadenectasis. CD10, CD19, CD20 and BCL2 immunostains are positive in the biopsy. Which of the following is the most likely diagnosis?
A. Hairy cell leukemia
B. Mantle cell lymphoma
C. Follicular lymphoma
D. Peripheral T-cell lymphoma, NOS
E. Mycosis fungoides
【参考答案】 C

132. A 10-year-old female presents with a mediastinal mass and high white blood cell count. Which of the following is the most likely diagnosis?
A. Burkitt lymphoma
B. T lymphoblastic leukemia/lymphoma
C. Primary mediastinal (thymic) large B-cell lymphoma
D. Follicular lymphoma
E. Extranodal NK/T-cell lymphoma
【参考答案】 B

133. In which of the following lymphomas is the cytogenetic/molecular abnormality t(14;18) (q32;q21) usually detectable?
A. T-cell prolymphocytic leukemia
B. Mantle cell lymphoma
C. Follicular lymphoma
D. Diffuse large B-cell lymphoma
E. Chronic lymphocytic leukaemia/small lymphocytic lymphoma
【参考答案】 C

134. Which of the following lymphomas has the worst prognosis?
A. Mantle cell lymphoma
B. Nodular lymphocyte predominant Hodgkin lymphoma
C. MALT lymphoma
D. Follicular lymphoma
E. Chronic lymphocytic leukemia/small lymphocytic lymphoma
【参考答案】 A

135. Which of the following regarding extranodal NK/T-cell lymphoma is incorrect?
A. Association with Epstein-Barr virus (EBV)
B. The upper aerodigestive tract is most commonly involved
C. Coagulative necrosis is a common finding
D. An angiocentric and angiodestructive growth pattern
E. Polymorphic tumor cells with a nodular growth pattern
【参考答案】 E

136. Histological sections of an enlarged lymph node from a 9-year-old female reveal an increased number of reactive follicles containing germinal centers with proliferating B lymphocytes. Which of the following is the most likely diagnosis?
A. Follicular lymphoma
B. Follicular dysplasia
C. Follicular hyperplasia
D. Germinal center atrophy
E. Germinal center metaplasia
【参考答案】 C

137. A non-tender, enlarged lymph node develops in the neck of a 17-year-old girl. On biopsy, the lymph node shows diffuse effacement of its architecture, with presence of fibrous bands creating a nodular pattern. Numerous lacunar cells and scattered Reed-Sternberg cells are present among a mixed population of lymphocytes, eosinophils, macrophages, and plasma cells. Which of the following is the most likely diagnosis?
A. Lymphocyte-depleted classical Hodgkin lymphoma
B. Lymphocyte-rich classical Hodgkin lymphoma
C. Mixed cellularity classical Hodgkin lymphoma
D. Nodular sclerosing classical Hodgkin lymphoma
E. Nodular lymphocyte predominant Hodgkin lymphoma
【参考答案】 D

138. The presence of the Philadelphia chromosome is associated with a more favorable prognosis in patients with which of the following diseases?
A. Acute lymphoblastic leukemia
B. Acute myeloid leukemia
C. Chronic lymphocytic leukemia
D. Chronic myelogenous leukemia
E. Hairy cell leukemia
【参考答案】 D

139. A patient complains of difficulty breathing through his nose and bone pain in his cheeks, near his nose. Physical examination and CT of the head reveal mass lesions involving the nose, pharynx, and sinuses. CT-guided biopsy demonstrates a non-keratinizing, squamous cell carcinoma. Which of the following disorders is associated with the same oncogenic virus that is the likely cause of this patient's cancer?
A. Adult T-cell leukemia
B. Hepatocellular carcinoma
C. Cervical carcinoma
D. Kaposi's sarcoma
E. Burkitt lymphoma
【参考答案】 E

140. Molecular studies on an abdominal lymph node containing lymphoma demonstrate a t(8;14) (q24;q32) translocation. This is most compatible with which of the following diseases?
A. Multiple myeloma
B. Mantle cell lymphoma
C. Burkitt lymphoma
D. Follicular lymphoma
E. Anaplastic large cell lymphoma
【参考答案】 C

141. Overexpression of BCL2 gene is most associated with which of the following conditions?
A. T lymphoblastic leukemia/lymphoma
B. Follicular lymphoma
C. Nodal marginal zone lymphoma
D. Extranodal NK/T-cell lymphoma, nasal type
E. Burkitt lymphoma
【参考答案】 B

142. Which of following diseases is a T cell lymphoma?
A. Mantle cell lymphoma
B. Follicular lymphoma
C. Plasma cell myeloma
D. Anaplastic large cell lymphoma
E. Chronic lymphocytic leukemia/small lymphocytic lymphoma
【参考答案】 D
