## 肿瘤

1. 不符合肿瘤性增生的是
D. 多种基因的序贯效应为主
E. 肿瘤抑制基因在生殖细胞的突变是某些遗传性肿瘤的基础
【参考答案】 D

136. 不符合 P53 基因的描述是
A. P53 基因的突变发生于结肠癌、肺癌等实体肿瘤
B. 野生型 P53 蛋白抑制细胞生长
C. 突变型 P53 蛋白促进细胞增生
D. P53 蛋白存在于细胞浆内
E. P53 基因位于 17 号染色体
【参考答案】 D

137. 不符合良性肿瘤的是
A. 生长缓慢
B. 不浸润周围组织
C. 可发生恶变
D. 术后很少复发
E. 不发生转移
【参考答案】 B

138. 诊断恶性肿瘤的主要组织学依据是
A. 结构紊乱
B. 组织坏死
C. 异型性明显
D. 血管丰富
E. 浸润周围组织
【参考答案】 C

139. 区别良性肿瘤与恶性肿瘤的主要组织学依据是
A. 结构紊乱
B. 细胞形态不一
C. 间质内炎细胞浸润
D. 细胞核多形性
E. 纤维组织增生
【参考答案】 D

140. 区别乳腺内良性肿瘤与恶性肿瘤的主要临床依据是
A. 肿瘤的体积
B. 肿瘤的部位
C. 肿瘤的硬度
D. 肿瘤的活动度
E. 肿瘤的浸润情况
【参考答案】 E

141. 区别子宫平滑肌瘤和平滑肌肉瘤的主要病理学依据是
A. 结构紊乱
B. 细胞形态不一
C. 体积大小
D. 核分裂像的多少
E. 细胞核多形性
【参考答案】 D

142. 区别脂肪瘤与脂肪肉瘤的主要病理学依据是
A. 肿瘤的体积
B. 肿瘤的分化情况
C. 肿瘤的硬度
D. 肿瘤的活动度
E. 肿瘤的部位
【参考答案】 B

143. 大肠腺瘤癌变的主要肉眼形态改变是
A. 腺瘤的体积
B. 腺瘤的部位
C. 腺瘤溃疡形成
D. 腺瘤呈分叶状
E. 腺瘤呈绒毛状
【参考答案】 C

144. 区别肺癌与肺炎性假瘤的主要组织学依据是
A. 结构紊乱
B. 肺泡上皮增生
C. 间质内炎细胞浸润
D. 细胞核多形性
E. 纤维组织增生
【参考答案】 D

145. 支持肉瘤的主要诊断依据是
A. 假包膜形成
B. 淋巴道转移
C. 呈鱼肉状
D. 血道转移
E. 肿瘤细胞弥漫散在，与间质混杂
【参考答案】 E

146. 支持癌的主要诊断依据是
A. 恶性肿瘤细胞弥散分布
B. 恶性肿瘤细胞浸润周围组织
C. 坏死灶形成
D. 大片出血
E. 恶性肿瘤细胞形成巢片
【参考答案】 E

147. 符合肉瘤的主要组织学依据是
A. 恶性肿瘤细胞间可见网状纤维
B. 恶性肿瘤细胞浸润周围组织
C. 恶性肿瘤细胞有内分泌功能
D. 淋巴结内出现转移灶
E. 恶性肿瘤细胞形成巢片
【参考答案】 A

148. 确定癌的主要依据是
A. 老年人
B. 浸润性生长
C. 癌巢形成
D. 肿瘤组织的异型性明显
E. 核分裂像多见
【参考答案】 C

149. 不符合癌的分级的描述是
A. 高分化鳞癌形成角化珠
B. 低分化鳞癌恶性度高
C. 高分化腺癌恶性度低
D. 实性癌不形成腺体
E. 未分化癌是腺癌的一种
【参考答案】 E

150. 不符合恶性肿瘤分期的描述是
A. T 表示肿瘤的大小
B. L 表示淋巴结转移情况
C. M 表示脏器转移情况
D. T_1L_0M_0表示肿瘤处于早期
E. T_4L_3M_1表示肿瘤处于中期
【参考答案】 E

151. 制定胃癌的治疗方案常依据
A. 脱落细胞学诊断
B. 细针穿刺病理诊断
C. 冰冻切片病理诊断
D. 活体组织检查及手术标本的病理诊断
E. 影像学诊断
【参考答案】 D

152. 不符合腺癌的分级的描述是
A. 高分化腺癌形成腺体
B. 中分化腺癌部分形成腺体
C. 低分化腺癌恶性度低
D. 实性癌不形成腺体
E. 髓样癌是腺癌的一种
【参考答案】 C

153. atypia
A. 间变
B. 多形性
C. 异型性
D. 分化
E. 成熟
【参考答案】 C

154. leiomyosarcoma
A. 骨肉瘤
B. 脂肪肉瘤
C. 横纹肌肉瘤
D. 平滑肌肉瘤
E. 软骨肉瘤
【参考答案】 D

155. teracoma
A. 错构瘤
B. 迷离瘤
C. 假瘤
D. 结核瘤
E. 畸胎瘤
【参考答案】 E

156. adenocarcinoma
A. 鳞癌
B. 移行细胞癌
C. 腺癌
D. 粘液癌
E. 硬癌
【参考答案】 C

157. melanoma
A. 淋巴瘤
B. 骨髓瘤
C. 尤文瘤
D. 黑色素瘤
E. 迷离瘤
【参考答案】 D

158. metastasis
A. 侵袭
B. 转移
C. 扩散
D. 间变
E. 进展
【参考答案】 B

159. cachexia
A. 恶性度
B. 恶病质
C. 恶性转化
D. 恶变
E. 癌变
【参考答案】 B

160. oncogene
A. 原癌基因
B. 病毒癌基因
C. 癌基因
D. 凋亡基因
E. 抗癌基因
【参考答案】 C

161. Workers in the dye industry are most prone to which of the following tumors?
A. Aarcinoma of the lung
B. Squamous cell carcinoma of the skin
C. Basal cell carcinoma of the skin
D. Carcinoma of the stomach
E. Carcinoma of the urinary bladder
【参考答案】 E

162. Which of the following tumors has been associated most strongly with a possible viral etiology?
A. Carcinoma of the lung
B. Burkitt's lymphoma
C. Carcinoma of the esophagus
D. Follicular lymphoma
E. Fibrosarcoma
【参考答案】 B

163. A 72-year-old female has been feeling fatigued for weeks. She has had a 10 kg weight loss in the past couple of months. She has some nausea, but no vomiting, hemoptysis, or hematemesis. She does not have a cough. She is afebrile. The most likely explanation for these findings, from the gross appearance of the liver seen here, is the presence of:
![题目配图](https://course.huh.moe/data/bl/images/4-chap4-1.jpg)
A. Hepatic adenomas
B. Metastatic adenocarcinoma
C. Hepatocellular carcinoma
D. This tumor should express AFP oncofetal protein
E. Micronodular cirrhosis
【参考答案】 B

164. Which one of the following statements is most appropriate for the lesion shown here?
![题目配图](https://course.huh.moe/data/bl/images/4-chap4-1.jpg)
A. This tumor is always well-differentiated
B. The growth pattern for the tumor is local invasion
C. Metastasis may be exist when the tumor is identified
D. The etiology of the tumor is related to specific virus
E. None of above
【参考答案】 C

165. A 40-year-old female has noted some intermenstrual blooding and felt pelvic discomfort. A pelvic examination is performed and the cervical lesion seen here is found and a hysterectomy performed. Which one of the following statements is most appropriate based on the appearance of this lesion?
![题目配图](https://course.huh.moe/data/bl/images/4-chap4-3.jpg)
A. This lesion is the result of smoking
B. This is a benign lesion that will not recur
C. This is a malignant lesion that will be lethal
D. This kind of tumor is not related to HPV
E. Syphilis is the main cause of the lesion
【参考答案】 C

166. A 68-year-old male is found to have occult blood in the stool on physicial examination. A colonoscopy is performed, and the lesion seen here was found and resected. Which of the following statements is most appropriate for this patient?
![题目配图](https://course.huh.moe/data/bl/images/4-chap4-3.jpg)
A. His children have a high risk for a similar lesion
B. This is a benign lesion that will not recur
C. This lesion is the result of smoking
D. A sexually transmitted disease led to this lesion
E. Metastases from this lesion may be present
【参考答案】 B

167. Which of the following is the most common growth pattern for transitional cell carcinoma?
A. Ulcerative
B. Odular
C. Leather like
D. Cystic
E. Papillary
【参考答案】 E

168. Basal cell carcinoma is most common in which location in the elderly?
A. Hands
B. Face
C. Feet
D. Liver
E. Trunk
【参考答案】 B

169. The most common cause of death from cancer in China is
A. Stomach cancer
B. Liver cancer
C. Lung cancer
D. Breast cancer
E. Colon cancer
【参考答案】 C

170. Which one of the following items is most helpful in distinguishing poorly differentiated carcinoma from sarcoma?
A. The growth pattern
B. The manner of spread
C. The age of patient
D. The location of the tumor
E. Reticulum fiber stain
【参考答案】 E

171. Seeding metastasis is most common in which of the following malignancies?
A. Melanoma
B. Gastric signet-ring carcinoma
C. Breast carcinoma
D. Osteosarcoma
E. Squamous carcinoma of penis
【参考答案】 B

172. Which one the following of statements concerning the total cell cycle time in tumors is most appropriate when it is compared with normal cells?
A. 3 times faster than that of normal cells
B. 2 times faster than that of normal cells
C. Equal or even longer than that of normal cells
D. 5 times faster than that of normal cells
E. Much slower than that of normal cells
【参考答案】 C

173. Analysis of cancers which have metastasized reveals a mutation which results in decreased cell surface expression of E-cadherin. Which of the following genes is most likely mutated to produce these findings?
A. Beta-catenin
B. Cyclin D
C. BRCA-2
D. NF-1
E. Rb
【参考答案】 A

174. Patients with long-standing Epstein-Barr virus infection have an increased risk for development of malignant neoplasms in adulthood. Which of the following neoplasms is most likely to be found in these patients?
A. Kaposi sarcoma
B. Lipoma
C. Cervical carcinoma
D. Nasopharyngeal carcinoma
E. Endometrial carcinoma
【参考答案】 D

175. A previously healthy 67-year-old man has been feeling tired for 5 months. A complete physical examination is performed and stool guaiac is positive. A colonoscopy is performed, and a large, sessile 4.0 cm mass with surface ulceration is found in the cecum. A biopsy of this mass microscopically shows irregular glands with crowded, tall columnar cells having marked nuclear hyperchromatism. Which of the following statements about his condition is most accurate?
A. He has hereditary non-polyposis colon cancer
B. A p53 mutation is present in the neoplastic cells
C. There is lack of apoptosis from a faulty Bcl-2 gene
D. His relatives have hereditary adenomatous polyposis
E. He has inherited a faulty Rb gene from one parent
【参考答案】 B

176. Cells of urothelial carcinoma demonstrate a single mutation causing cellular inability to hydrolyze GTP, thus resulting in cellular transformation. Which of the following oncogenes is most likely implicated in this case?
A. c-abl
B. c-sis
C. k-ras
D. c-neu
E. c-myc
【参考答案】 C

177. It is known that some pre-existing conditions are found to precede development of malignant neoplasms. Which of the following conditions is most likely to be statistically unrelated to subsequent malignancy?
A. Cervical squamous dysplasia
B. Chronic alcoholism with hepatic cirrhosis
C. Endometrial atypical hyperplasia
D. Uterine leiomyoma
E. Chronic ulcerative colitis
【参考答案】 D

178. An unequivocal features of malignancy is
A. Cellular pleomorphism
B. Lymphocytic infiltration at the edge of the tumor
C. Numerous mitotic figures
D. Metastases
E. Necrosis
【参考答案】 D

179. A 62-year-old man with an 80 pack year history of smoking experiences an episode of hemoptysis. On physical examination his face shows puffiness, there is some pedal edema and bruises on the skin, and his blood pressure is 165/100 mmHg. A chest radiograph reveals a 5 cm right upper lobe lung mass. A fine needle aspiration of this mass shows small cell carcinoma. A bone scan shows no metastases. Immunohistochemical staining of the tumor cells is likely to be positive for which of the following hormones?
A. Parathormone related peptide
B. Erythropoietin
C. ACTH
D. Insulin
E. Gastrin
【参考答案】 C

180. A 25-year-old woman in excellent health found a 2 cm firm, rounded mass beneath the skin of her upper back. The overlying skin appears normal. The mass is palpable and soft. She has no symptom over many years. Which of the following neoplasms is she most likely to have?
A. Metastatic carcinoma
B. Melanoma
C. Leiomyoma
D. Lipoma
E. Fibrosarcoma
【参考答案】 D

181. A 14-year-old boy has had lumps in the right neck for the past 5 months. On physical examination there is painless lymphadenopathy in the right cervical region. One of the lymph nodes is biopsied and on microscopic examination shows many lymphocytes that are large, with clumped chromatin and occasional mitoses. The characterization of this population of lymphocytes as a neoplasm is best accomplished by which of the following methods?
A. Immunohistochemical staining identifying leukocyte common antigen
B. Gene rearrangement studies that demonstrate clonality
C. A differential white blood count showing a lymphocytosis
D. Flow cytometry indicating a high S-phase
E. Demonstrating necrosis within the mass by light microscopy
【参考答案】 B

182. A 58-year-old man dies after a year-long illness. At autopsy the liver contains multiple tumor masses from 2 cm to 5 cm that are mostly firm and tan, and these masses grossly exhibit umbilication with central necrosis. Which of the following statements would best characterize the significance of such findings?
A. There is multicentric origin of a benign neoplasm
B. The primary neoplasm is in the stomach
C. A carcinogen was the underlying cause for the neoplasm
D. The neoplasm is at an advanced stage
E. The neoplasm is high grade
【参考答案】 D

183. A 17-year-old healthy girl has a 0.5 cm reddish, slightly raised nodule on the skin of the upper part of her chest found on a routine physical examination. She states that this lesion has been present for years and has not appreciably changed in size or color. Which of the following neoplasms is this nodule most likely to be?
A. Hemangioma
B. Melanoma
C. Rhabdosarcoma
D. Osteoma
E. Lymphoma
【参考答案】 A

184. A 35-year-old woman has had a feeling of abdominal discomfort for the past 7 months. On pelvic examination, there is a right adnexal mass. An abdominal CT scan demonstrates a 6 cm cystic mass involving the right ovary with small areas of calcification. The uterus is normal in size. The right fallopian tube and ovary are removed surgically. Grossly, on sectioning the mass is filled with abundant hair and sebum. Microscopically, the mass has glandular spaces lined by columnar epithelium, squamous epithelium with hair follicles, cartilage, and dense connective tissue. Which of the following statements regarding this type of neoplasm is most appropriate?
A. A human papillomavirus infection preceded development of this mass
B. Primitive immature tissues resembling those from an embryo can usually be seen
C. Metastases are unlikely to be present.
D. A sarcomatous element is usually present
E. Such a mass is often seen to arise in the testis
【参考答案】 C

185. Which of the following neoplasms is most likely to develop from viral oncogenesis?
A. Transtional cell carcinoma
B. Retinoblastoma
C. T-cell leukemia
D. Seminoma
E. Hepatic angiosarcoma
【参考答案】 C

186. A 51-year-old man has experienced vague abdominal discomfort for the past 4 months. On physical examination he has no lymphadenopathy, and no abdominal masses or organomegaly can be palpated. Bowel sounds are present. An abdominal CT scan shows a 20 cm retroperitoneal soft tissue mass obscuring the left psoas muscle. A stool specimen tested for occult blood is negative. Which of the following neoplasms is this man most likely to have?
A. Melanoma
B. Hamartoma
C. Adenocarcinoma
D. Lymphoma
E. Liposarcoma
【参考答案】 E

187. Which of the following statement(s) is/are correct?
A. The incidence of malignancy tends to increase with age
B. Certain tumors tend to occur in certain age groups
C. Certain tumors tend to occur in certain locations
D. Hormones may inhibit or promote tumor growth
E. All of the above statements are correct
【参考答案】 E

188. Which one of the following statements is not true about paraneoplastic syndromes?
A. They may represent the earliest manifestation of an occult neoplasm
B. They may be serious and even be lethal
C. Cushing syndrome is the most common endocrinopathy
D. They can only be seen in cancer patients, not in sarcoma patients
E. They can mimic metastatic disease
【参考答案】 D

189. Which one of the following statements is not correct about tumor antigens?
A. Tumor associated antigens are present on tumor cells and also on some normal cells
B. Tumor antigens may be normal cellular proteins
C. The expression of oncofetal antigens in adults is only limited to tumors
D. CD20 is a cell type-specific differentiation antigen
E. All of above
【参考答案】 C

190. Among the following viruses, which one is an oncogenic RNA virus?
A. HIV
B. HCV
C. HBV
D. HTLV
E. HPV
【参考答案】 D

191. Which of the following is true in identifying the steps involved in chemical carcinogenesis?
A. Promoters are tumorigenic by themselves
B. The effect of promoters is reversible
C. Initiation alone is sufficient for tumor formation
D. Initiators are direct-acting compounds
E. None of above
【参考答案】 B

192. Which of the following statements about tumor angiogenesis is correct?
A. Tumor blood vessels are similar to normal vasculature
B. Tumor angiogenesis is related to the decreased production of VEGF
C. VEGF can only be produced by tumor cells
D. Angiogenesis is induced from a very early stage of tumor growth
E. During angiogenesis anti-angiogenesis molecules can also be induced by tumor cells
【参考答案】 E

193. Which of the following statements is true about tumor suppressor genes?
A. The function of these genes is to prevent tumor formation
B. These genes were discovered by studying common diseases
C. WT1 and VHL genes act in a manner similar to the RB gene
D. Loss of heterozygosity involving the P16 gene is the mechanism of retinoblastoma
E. None of above
【参考答案】 C

194. Which of the following does not belonged to a defective DNA repair syndrome?
A. HNPCC
B. Xeroderma pigmentosum
C. Ataxiatelangectasia
D. Li-Fraumeni syndrome
E. Bloom syndrome
【参考答案】 D

195. Which of the following features is true about metastasis?
A. All cancers can metastasize, In general the more rapidly growing
B. In general，the more rapidly growing， the greater the likelihood that cancer will metastasize
C. The probability of metastasis can be determined by pathologic examination of the primary tumor
D. Nodal enlargement in proximity to a cancer definitely means lymphatic spread
E. Sarcoma can only metastasis by hematogenous spread
【参考答案】 B

196. Which of the following statements is true about cancer stem cells?
A. Cancer stem cells have been identified in almost all kinds of cancers
B. Cancer stem cells have a low rate of replication
C. Cancer stem cells constitute 20% of the cells in breast tumors
D. Cancer stem cells can be killed easily by chemotherapy
E. None of above
【参考答案】 B

197. A benign neoplasm characterized by an abnormal amount of tissue indigenous to the area is best referred to as
A. Teratoma
B. Mixed tumor
C. Hamartoma
D. Embryonal tumor
E. Keloid
【参考答案】 C

198. The characteristic appearance of a neoplasm depends on which of the following?
A. parenchyma
B. mesenchyma
C. metastasis
D. atypia
E. mitosis
【参考答案】 A

199. A 53-year-old man has a palpable mass lesion on digital rectal examination. Biopsy was performed. Of the following microscopic findings, which is most likely to indicate that the neoplasm is malignant?
A. Pleomorphism
B. Increased nuclear/cytoplasmic ratio
C. Necrosis
D. Invasion
E. Atypia
【参考答案】 D

200. A 55-year-old woman goes to her physician for a routine physical examination. A 4 cm diameter non-tender mass is palpated in her right breast. The mass appears fixed to the chest wall. Another 2 cm non-tender mass is palpable in the left axilla. A chest radiograph reveals multiple 0.5 to 2 cm nodules in both lungs. Which of the following classifications best rerpresents the stage of her disease?
A. T1N1M0
B. T1N0M1
C. T2N1M0
D. T3N0M1
E. T4N1M1
【参考答案】 E

201. Which of the following features is not true in describing carcinoma in situ?
A. Dysplastic changes involve the entire thickness of the epithelium
B. It is preinvasive neoplasm
C. It is intramucosal carcinoma
D. It is early stage carcinoma
E. It does not metastastasize
【参考答案】 C

202. Which of the following features is true in describing malignant neoplasm?
A. The presence of giant cells indicate that a tumor is malignant
B. Lack of differentiation is a hallmark of malignant transformation
C. The presence of mitoses indicate that a tumor is malignant
D. The bigger the neoplasm the higher the tumor grade
E. Anaplastic tumors do not differ cytologically from normal counterparts
【参考答案】 B

203. Which of the following conditions is a not preneoplastic disorder?
A. Chronic atrophic gastritis
B. Chronic ulcerative colitis
C. Leukoplakia of the oral cavity
D. Thyroid adenoma
E. Papilloma of the penis
【参考答案】 D

204. Which of the following tumors is not malignant?
A. Mesothelioma
B. Seminoma
C. Osteoma
D. Wilm's tumor
E. Leukemia
【参考答案】 C

205. The term border line tumor means:
A. Tumor consisting of both carcinoma and sarcoma
B. Tumor consisting of squamous carcinoma and adenocarcinoma
C. Tumor consisting of epithelial tissue and meschymal tissue
D. Tumor bordering between benign and malignant
E. Tumor bordering between hyperplasia and carcinoma
【参考答案】 D

206. The patient survival rate with stage T4N1M1 neoplam 5 years from the time of diagnosis is less than 50%, regardless of therapy. Which of the following clinical findings is most likely to be characteristic of this group of patients?
A. Cachexia
B. Cardiac murmur
C. Icterus
D. Tympany
E. Splenomegaly
【参考答案】 A

207. Which of the following factors presents the greatest risk for development of malignant melanoma in the skin of hand?
A. Smoking tobacco
B. Asbestos exposure
C. Chemotherapy
D. Ultraviolet radiation
E. Allergy to latex
【参考答案】 D

208. Angiogenesis in a neoplasm is best characterized as:
A. blood-borne spread of tumor cells
B. invasion of blood vessels by tumor cells
C. the ingrowth of new blood vessels into a growing tumor
D. a tumor arising from primitive blood forming tissue
E. central necrosis seen in rapidly growing tumors resulting from the tumor outgrowing its blood supply
【参考答案】 C

209. Which of the following techniques used during partial colectomy for colon carcinoma can best aid the surgeon in determining whether the resection is adequate to reduce the probability of a recurrence?
A. Fine-needle aspiration
B. Serum carcinoembryonic antigen assay
C. Frozen section
D. Electron microscopy
E. Flow cytometry
【参考答案】 C

210. Which of the following is a risk factor for hepatic angiosarcoma?
A. Arsenic
B. Asbestos
C. Benzene
D. Beryllium
E. Vinyl chloride
【参考答案】 E

211. Which gene is most likely to have mutation in the familial breast carcinoma?
A. BCL2 (antiapoptosis gene)
B. BRCA1 (DNA repair gene)
C. EGF (epidermal growth factor gene)
D. ERBB2 (growth factor receptor gene)
E. K-RAS (GTP-binding protein gene)
【参考答案】 B

212. Which of the following best describes the mechanism of sporadic colonic adenomas evolving into an invasive carcinoma?
A. Protooncogenes can be activated by chromosomal translocation
B. Extensive regeneration of tissues increases the risk of cancer-causing mutations
C. Malignant transformation involves accumulation of mutations in protooncogenes and tumor suppressor genes in a step-wise fashion
D. Inherited defects in DNA repair increase the susceptibility to develop cancer
E. Overexpression of growth factor receptor genes is associated with poor prognosis
【参考答案】 C

213. Which of the following features of malignancies is related to its sensitivity to chemotherapeutic agents?
A. High growth fraction
B. Monoclonality
C. Poor vascularity
D. Prone to metastasis
E. Strong expression of tumor antigens
【参考答案】 A

214. A 14-year-old girl in a family of three children has had skin nodules over the past 5 years. On physical examination, she is of appropriate height and weight. The skin lesions are 1- to 3-cm maculopapular nodules that are erythematous to brown-colored and have areas of ulceration. Biopsy of the skin lesions shows squamous cell carcinoma. The child has no history of recurrent infections, and her parents and other relatives are not affected. Which of the following mechanisms is most likely to produce neoplasia in her condition?
A. Infection with human papillomavirus
B. Inactivation of p53
C. Ingestion of food contaminated with Aspergillus flavus
D. Failure of nucleotide excision repair of DNA
E. Chromosomal translocation
【参考答案】 D

215. A needle biopsy of the liver shows a mucin secreting adenocarcinoma. The most likely site of origin is?
A. Bladder
B. Cerebellum
C. Prostate
D. Colon
E. Lung
【参考答案】 D

216. A 55-year-old woman was diagnosed with well-differentiated ductal carcinoma of right breast and there were three firm lymph nodes palpable in the right axilla. There was no family history of cancer. 6 months later, she died of multiple metastases in the lung, liver and brain. Which of the following molecular abnormalities is most likely to be found in this setting?
A. Inactivation of one copy of the BRCA1 gene in breast cancer cells
B. Amplification of the ERBB2 (HER2) gene in breast cancer cells
C. Deletion of one copy of the p53 gene in all of the patient's cells
D. Deletion of the RB locus in the patient's normal somatic cells
E. Fusion of BCR and C-ABL genes in the cancer cells
【参考答案】 B

217. Which of the following investigational research procedures can most clearly distinguish whether an isolated 1 cm pedunculated polyp represents hyperplasia of the colonic mucosa or a tubular adenoma?
A. Immunoperoxidase staining for keratin
B. Immunoperoxidase staining for Ki-67
C. Flow cytometry to determine the frequency of cells in the S phase
D. Histochemical staining for mucin
E. Determination of clonality by pattern of X chromosome inactivation
【参考答案】 E

218. Which of the following molecular abnormalities in cervical carcinoma is most likely related to infection with HPV-16?
A. Trapping of the RAS protein in a GTP-bound state
B. activation of the c-myc gene
C. Inability to repair DNA damage
D. Functional inactivation of the RB1 protein
E. Increased expression of epidermal growth factor receptor
【参考答案】 D

219. Which of the following factors is most likely responsible for the lymph node metastases in breast carcinoma?
A. Increased laminin receptors on tumor cells
B. Presence of keratin in tumor cells
C. Diminished apoptosis of tumor cells
D. Tumor cell monoclonality
E. Lymphadenitis
【参考答案】 A

220. A 45-year-old man has had hepatitis for 14 years, and HBsAg and anti-HCV are positive. He develops hepatocellular carcinoma. Which of the following best explains why this patient developed hepatocellular carcinoma?
A. The consistent integration of these viruses in the vicinity of protooncogenes
B. The ability of viral genes to inactivate RB and p53 expression
C. Viral induced injury to liver cells followed by extensive regeneration
D. The ability of these viruses to capture protooncogenes from the host DNA
E. The ability of these viruses to cause immunosuppression in the host
【参考答案】 C

221. Which of the following maligancies does not increase in incidence in the setting of alcohol abuse?
A. Oropharyngeal
B. Laryngeal
C. Esophageal
D. Gastric
E. Hepatocellular
【参考答案】 D

222. Which of the following carcinomas tends to spread via vascular invasion as opposed to lymphatic invasion?
A. lung carcinoma
B. Renal cell carcinoma
C. gastric carcinoma
D. colon carcinoma
E. nasopharyngeal carcinoma
【参考答案】 B

223. In what organ has cytologic screening produced a marked reduction in mortality?
A. Breast
B. Lung
C. Pancreas
D. Uterine cervix
E. Stomach
【参考答案】 D

224. The increase in size of a neoplasm depends on the doubling time which
A. is related to the growth fraction and rate of cell loss
B. is related to its clonality
C. is the same as the length of the cell cycle
D. is related to the length of the cell cycle
E. is related to the age of the patient
【参考答案】 A

225. Which of the following is a neoplasm of mesenchymal origin?
A. leukemia
B. seminal cell tumor
C. fibrosarcoma
D. liposarcoma
E. all of the above
【参考答案】 E

226. Patients with hereditary nonpolyposis colon cancer typically develop multiple lesions of the colon during middle age. Molecular analysis of the cells from these lesions shows changes in hPMS1, hPMS2, and hMLH1 genes. Which of the following principles of carcinogenesis is best illustrated by this study?
A. Tumor initiators are mutagenic
B. Tumor promoters induce proliferation
C. Many oncogenes are activated by translocations
D. Inability to repair DNA is carcinogenic
E. Carcinogenesis is a multistep process
【参考答案】 D

227. A healthy 23-year-old woman undergoes a routine physical examination. A discrete, firm, rubbery, movable mass is found in the left breast. She has no axillary lymphadenopathy. The skin overlying the breast and the nipple appear normal. Which of the following neoplasms is most likely to be present?
A. Fibroadenoma
B. Lipoma
C. Intraductal carcinoma
D. Malignant lymphoma
E. Leiomyoma
【参考答案】 A

228. A 66-year-old man has developed a chronic cough over the past 2 months. There are no abnormal physical examination findings. A chest x-ray shows a 3 cm mass in the right upper lobe. After fine needle aspiration biopsy, the mass is resected. Gross and microscopic examination of the mass is performed and it is determined that a neoplasm is present. Which of the following findings regarding this mass is most likely to be irrelevant for determining further therapy and prognosis?
A. The size of the neoplasm
B. The differentiation of the neoplasm
C. Is the neoplasm invading the margin of resection
D. How much inflammation is present in the neoplasm
E. Is the neoplasm primary or metastatic
【参考答案】 D

229. A 75-year-old healthy man is found to have a palpable firm nodule in the prostate gland by rectal examination. His serum prostate specific antigen (PSA) is 19 ng/mL. The microscopic appearance seen on biopsy of the prostate will probably be most consistent with which of the following conditions?
A. Chronic prostatitis
B. Adenocarcinoma
C. Infarction
D. Leiomyoma
E. Rhabdomyosarcoma
【参考答案】 B

230. A 47-year-old man has noted a lump on his left shoulder that has enlarged over the past 4 months. On physical examination there is an enlarged, non-tender supraclavicular lymph node. A biopsy of the node is done and on microscopic examination there is a metastatic neoplasm. Which of the following is the most likely primary neoplasm?
A. Cerebral glioma
B. Adenocarcinoma of colon
C. Leiomyosarcoma of shoulder soft tissue
D. Fibrosarcoma of shoulder soft tissue
E. Liposarcoma of the retroperitoneum
【参考答案】 B

231. A child is born with a single functional allele of a tumor suppressor gene. At the age of five the remaining normal allele is lost through a point mutation. As a result, the ability to inhibit cell cycle progression until the cell is ready to divide is lost. Which of the following neoplasms is most likely to arise via this mechanism?
A. Infiltrating ductal carcinoma of breast
B. Small cell anaplastic carcinoma of the lung
C. Cerebral astrocytoma metastasis
D. Retinoblastoma of eye
E. Chronic myeloid leukemia
【参考答案】 D

232. A 35-year-old man with a family history of colon carcinoma undergoes a surveillance colonoscopy. It reveals hundreds of polyps in the colon, and two focal 0.5 cm ulcerated areas. A biopsy from one ulcer reveals irregularly shaped glands that have penetrated into the muscular layer. Which of the following molecular events is believed to occur very early in the evolution of his colonic disease process?
A. Activation of the WNT signaling pathway
B. Inability to hydrolyze GTP-bound RAS
C. Mutations in mismatch repair genes
D. Loss of heterozygosity affecting the p53 gene
E. Translocation of BCL2 from mitochondria to cytoplasm
【参考答案】 A

233. A 63-year-old man sees his physician because of cough and hemoptysis. He has a 65 pack-year history of smoking. A chest CT scan shows a 5-cm right hilar mass. Bronchoscopy is performed, and lung biopsy specimens show small cell anaplastic lung carcinoma. His family history shows three first-degree maternal relatives who developed leukemia, sarcoma, and carcinoma before the age of 40 years. Which of the following genes is most likely to have undergone mutation to produce these findings?
A. APC
B. BCL2
C. ERBB2
D. K-RAS
E. p53
【参考答案】 E

234. A 40-year-old man has generalized nontender enlargement of lymph node in the groin and armpit and hepatosplenomegaly. An inguinal lymph node biopsy specimen shows a malignant tumor of lymphoid cells. Immunoperoxidase staining of the tumor cells with antibody to BCL2 is positive in the lymphocytic cell nuclei. Which of the following mechanisms has most likely produced this lymphoma?
A. Increased tyrosine kinase activity
B. Reduced DNA repair
C. Gene amplifications
D. Lack of apoptosis
E. Loss of cell cycle inhibition
【参考答案】 D
